name,slug,chains,contract_addresses,kyc_status,kyc_date,audit_status,audit_date,audit_score,verification_tier,renounced,kyc_certificate_urls,audit_report_urls,audit_certificate_urls
Volt,volt,Solana,tba,approved,2024-07-05,none,,,kyc-only,yes,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Volt%20KYC%20Certificate.png,,
Scorefam,scorefam,,,approved,2024-01-24,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Scorefam%20KYC%20Certificate.png,,
VOX Ai,vox-ai,Ethereum,0x382ec856c90ef7ed7c936852f6603568ce1984e7,approved,2024-02-12,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/VOX%20AI%20KYC%20Certificate.png,,
TrustBet On-Chain,trustbet-on-chain,Solana,xpfbkja92ee1nsyehc3b3bvk4im8ystxravw6eow33w,approved,2024-01-18,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/TrustBet%20On-Chain%20KYC%20Certificate.png,,
Reserve,reserve,,0xe70b94c2320fb0289db0cac0ccbd60dd8f51ff89,approved,2021-01-01,none,,,kyc-only,no,,,
RUN3SCAPE,run3scape,Ethereum,0x0a18f1c2e10f9a0af2328652bcd2ece0207664b2,approved,2024-10-08,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/RUN3SCAPE%20KYC%20Certificate.png,,
Bitfinder,bitfinder,,0x5c53f04e80207f0067c0dbefb5d631c7b3739337,approved,2023-08-08,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Bitfinder%20KYC%20Certificate.png,,
WENIS COIN,weniscoin,Solana,,approved,2024-05-13,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/WenisCoin%20KYC%20Certificate.png,,
Standard DAO,standard-dao,,,approved,2021-01-01,none,,,kyc-only,no,,,
SPESBaS,spesbas,,,approved,2023-03-05,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/SPESBaS%20KYC%20Certificate.png,,
Sentra,sentra,Ethereum,0x93181f0625329fc0f5c35d1670ceb541867acc65,approved,2024-10-20,none,,,kyc-only,yes,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Sentra%20KYC%20Certificate.png,,
PlanetCats,planetcats,,0xa3a7f7ccc7b3f5be5828f92cc33cf5cafb027443,approved,2022-11-05,none,,,kyc-only,no,,,
AITAX,aitax,Ethereum,,approved,2024-04-25,completed,2024-05-05,95,full,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/AITAX%20KYC%20Certificate.png,https://github.com/Assure-DeFi/Audits/blob/main/AITAX_ADVANCED_05_05_24.pdf https://github.com/Assure-DeFi/Audits/blob/main/AITAX_ADVANCED_04_28_24.pdf,
BlueList,bluelist,Ethereum,0x41a377bf66a6617efe1e50854ba70b27418bb778,approved,2024-02-09,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/BlueList%20KYC%20Certificate.png,,
SAFU PEPE,safu-pepe,,0x1e850dbbcf0a067d306e09caefd5a49d1c32033c,approved,2023-05-23,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/SAFU%20PEPE%20KYC%20Certificate.png,,
Dice DAO,dice-dao,,,approved,2021-01-01,none,,,kyc-only,no,,,
Atlas Rewards,atlas-rewards,BSC,0x03dd7eebeb79aec1602bbd6ef9240331a8721634,approved,2023-11-17,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Atlas%20Rewards%20KYC%20Certificate.png,,
EverSwap,everswap,,0x60684a1f27876aab7022da66909dd234f9cc9e3c,approved,2021-01-01,none,,,kyc-only,no,,,
Hector DAO,hector-dao,,0x5c4fdfc5233f935f20d2adba572f770c2e377ab0,approved,2021-01-01,none,,,kyc-only,no,,,
Equitable Growth Opportunity,equitable-growth-opportunity,,0x1df2c6df4d4e7f3188487f4515587c5e8b75dbfa,approved,2022-08-16,none,,,kyc-only,no,,,
RuneVM,runevm,Ethereum,,approved,2024-06-07,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/RuneVM%20KYC%20Certificate.png,,
Bul.Finance,bul-finance,,,approved,2021-01-01,none,,,kyc-only,no,,,
Eden,eden,BSC,0xbf2e5bcc7ab88b002068e686a63cf59ebd2b0dd8,approved,2023-06-14,none,,,kyc-only,no,,,
SOLRUNE,solrune,Solana,enpgdyh9ffgxtw6d6l1g2z2wcmaly5rnuwwkgl1znmfr,approved,2024-05-17,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/SOLRUNE%20KYC%20Certificate.png,,
Multinode.Finance,multinode-finance,,0xc468f872961200ecab30cff4e618e7dea8aedd4d,approved,2021-01-01,none,,,kyc-only,no,,,
Depot App,depot-app,Ethereum,0x8c174ac036c40941291f5eaadf2555fd6fb6a8df | 0xa9f105ecf6177c83d1dbaceefdf13b66081145a3,approved,2025-08-22,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Depot%20App%20KYC%20Certificate.png,,
Servertech,servertech,,,approved,2021-01-01,none,,,kyc-only,no,,,
Gnome Node NFT,gnome-node-nft,,,approved,2021-01-01,none,,,kyc-only,no,,,
Atlantis DAO,atlantis-dao,,0x3876fe02afde8063d739572d55a24a7704304643,approved,2023-07-30,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Atlantis%20DAO%20KYC%20Certificate.png,,
Pepe VR,pepe-vr,BSC,0x0b4fc49732157a59d406b63437e038ba5b0860bc,rejected,2023-05-12,none,,,rejected,no,,,
Noodle Fi,noodle-fi,BSC,0x3d935fb9d8c51826a074e17853c62c2a7990596f,rejected,2023-10-05,none,,,rejected,yes,,,
Virtue Finance,virtue-finance,Ethereum,0xbcc711e8ed39b3ca38364f4135571c9877155875,approved,2025-06-18,completed,,,full,yes,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Virtue%20Finance%20KYC%20Certificate.png,https://github.com/Assure-DeFi/Audits/blob/main/VirtueFinance_ADV_07_05_25.pdf https://github.com/Assure-DeFi/Audits/blob/main/Virtue%20Finance_ADV_06_12_25.pdf https://github.com/Assure-DeFi/Audits/blob/main/VirtueFinance_ADV_06_12_25.pdf,https://github.com/Assure-DeFi/Audit-Certificates/blob/main/VirtueFinance_ADV_07_05_25.png
Buildex Finance,buildex-finance,Ethereum,,approved,2024-11-07,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Buildex%20Finance%20KYC%20Certificate.png,,
EverGrow,evergrow,,0xc001bbe2b87079294c63ece98bdd0a88d761434e,approved,2021-01-01,none,,,kyc-only,no,,,
Evolia Protocol,evolia-protocol,,0xfecc6813be4aa8352fc30550413f3b808b5671c1,approved,2023-05-11,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Evolia%20Protocol%20KYC%20Certificate.png,,
Naoris Protocol,naoris-protocol,,,approved,2022-06-10,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Naoris%20Protocol%20KYC%20Certificate.png,,
MetaBotAI,metabotai,Ethereum,,approved,2023-09-03,completed,,,full,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/MetaBotAI%20KYC%20Certificate.png,https://github.com/Assure-DeFi/Audits/blob/main/METABOT_ADV_10_23_24.pdf https://github.com/Assure-DeFi/Audits/blob/main/Metabot_ADV_10_12_24.pdf,
MemeMaker,mememaker,Ethereum,,approved,2023-07-07,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/MemeMaker%20KYC%20Certificate.png,,
Clicks Platform,clicks-platform,BSC,0xc4e22124f80db9523ef59952bc4f4b0481163aed,approved,2023-08-15,none,,,kyc-only,yes,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Clicks%20Platform%20KYC%20Certificate.png,,
StellaryAI,stellaryai,Ethereum,0xcd4ee6c8052df6742e4b342cf720ff3ac74f415e,approved,2024-03-30,none,,,kyc-only,yes,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/StellaryAI%20KYC%20Certificate.png,,
Bogged Finance,bogged-finance,,0xb09fe1613fe03e7361319d2a43edc17422f36b09,approved,2021-01-01,none,,,kyc-only,no,,,
GeneAlpha,genealpha,,0x5e6dd9a767894470e7e93e603c25f681a5adf1ae,none,2025-07-23,completed,,,audit-only,no,,https://github.com/Assure-DeFi/Audits/blob/main/GeneAlphaAi_ADV_07_23_25.pdf,https://github.com/Assure-DeFi/Audit-Certificates/blob/main/GeneAlphaAI_ADV_07_23_25.png
ShibaNovaDEX,shibanovadex,,,approved,2021-01-01,none,,,kyc-only,no,,,
Gx3.Ai,gx3.ai,Ethereum,0xb7d29ec03d87dcd5d6f6ea39a855d5566e6c8f36,approved,2025-05-27,none,,,kyc-only,yes,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Gx3.Ai%20KYC%20Certificate.png,,
Prometheus,prometheus,,0x4f7620a4e134b1d3fca3f419663acf351b225c74,approved,2021-01-01,none,,,kyc-only,no,,,
SierraDAO,sierradao,,,approved,2021-01-01,none,,,kyc-only,no,,,
BitrockAI,bitrockai,Bitrock,0xf9aed8aef967957d98575dbcc4a68ba77c02e821,rejected,2024-04-06,none,,,rejected,no,,,
GN,gn,,0x032c48b65d589c08fb2d427a2fc1a2ffc0b18ba8,approved,2021-01-01,none,,,kyc-only,no,,,
Venko,venko-tech,,3xhezws6lk7cmqovefzfxu3ry9gkymfz1vbwyq4f99ux,none,,completed,,,audit-only,no,,https://github.com/Assure-DeFi/Audits/blob/main/VENKO_ADV_10_14_24.pdf https://github.com/Assure-DeFi/Audits/blob/main/VENKO_TOKEN_08_03_24.pdf,https://github.com/Assure-DeFi/Audit-Certificates/blob/main/VENKO_ADV_10_14_24.png
Harmonized App,harmonized-app,,,approved,2021-01-01,none,,,kyc-only,no,,,
Trumpius Maximus,trumpius-maximum,Ethereum,0x47000a7b27a75d44ffadfe9d0b97fa04d569b323,none,2025-01-22,completed,,,audit-only,yes,,https://github.com/Assure-DeFi/Audits/blob/main/Trumpius%20Maximus_ADV_01_19_24.pdf,https://github.com/Assure-DeFi/Audit-Certificates/blob/main/Trumpius%20Maximus_ADV_01_19_24.png
Future,future,Ethereum,0x6a01b4bb5b423dc371cbc66b1b44629a248a814b,approved,2023-07-09,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/FUTURE%20KYC%20CERT.png,,
Apex Nodes,apex-nodes,,0x2e768e86f691afe8a6f9277bbcd9c570ab868fc0,approved,2021-01-01,none,,,kyc-only,no,,,
Cronos Node,cronos-node,,0xd8eb4845b094e05f4d01d7bb3468238076f744f1,approved,2021-01-01,none,,,kyc-only,no,,,
Lynx Tech,lynx-tech,Ethereum,,approved,2023-09-26,completed,2023-09-27,95,full,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Lynx%20Tech%20KYC%20Certificate.png,https://github.com/Assure-DeFi/Audits/blob/main/LYNX_ERC%2020%20Token_09_27_2023.pdf https://github.com/Assure-DeFi/Audits/blob/main/LYNX%20TECH_Staking_12_19_23.pdf https://github.com/Assure-DeFi/Audits/blob/main/Lynx%20Tech_%24Lynx_Staking_Audit_12_14_23.pdf https://github.com/Assure-DeFi/Audits/blob/main/LYNX%20_Profit%20Sharing_10_22_2023.pdf https://github.com/Assure-DeFi/Audits/blob/main/LYNX%20_Profit%20Sharing_10_13_2023.pdf,https://github.com/Assure-DeFi/Audit-Certificates/blob/main/Lynx%20Tech_ERC%2020%20Token_9_27_2023.png
Tekio NFT,tekio-nft,Ethereum,,approved,2023-11-30,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Tekio%20NFT%20KYC%20Certificate.png,,
Devhub Project,devhub-project,Ethereum,tba,approved,2024-08-02,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Devhub%20Project%20KYC%20Certificate.png,,
Snowcat DAO,snowcat-dao,,0xbe3e1f44d99edb10cf6378e5a3879bb533a67331,approved,2021-01-01,none,,,kyc-only,no,,,
Platty Ai,platty-ai,Base,0xa26ac3591517c94ca21944ffc7f63dfd61c99068,approved,2024-04-09,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Platty%20Ai%20KYC%20Certificate.png,,
SoNoisy,sonoisy,Ethereum,0x2ed7204ec9fd77d3758dc7d3c5de4c9b510ad72b,approved,2023-12-21,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/SoNoisy%20KYC%20Certificate.png,,
Re-Evolution,re-evolution,,,approved,2022-04-28,none,,,kyc-only,no,,,
PITTYS,pittys,,,approved,2021-01-01,none,,,kyc-only,no,,,
Toasty Finance,toasty-finance,,0xd518ea217aa04f9e43ca7c0cba2b8c6f69f1149f,approved,2022-05-17,none,,,kyc-only,no,,,
Scary Chain Capital,scary-chain-capital,,0xa231d452e4bca86672fd6109de94688d1e17aae5,approved,2021-01-01,none,,,kyc-only,no,,,
KRAET,kraet,Solana,dtifd4ply2mxhmyy1gvjhevvf5qa59pdmtmmmph2z4f1,approved,2024-07-11,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/KRAET%20KYC%20Certificate.png,,
Algo Tech,algo-tech,Ethereum,0xebfd7dc7caf1a9d49f69516791a19ddd7c07c87c,rejected,2024-06-21,none,,,rejected,no,,,
DogKage,dogkage,,0xb0aa163e92f0c3b6005d0580cdcc5dd79c42301f,approved,2021-01-01,none,,,kyc-only,no,,,
Crafteo AI,crafteo-ai,BSC,,approved,2024-01-30,completed,2024-01-30,93,full,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Crafteo%20AI%20KYC%20Certificate.png,https://github.com/Assure-DeFi/Audits/blob/main/CRAFTEO_TOKEN_01_30_24.pdf https://github.com/Assure-DeFi/Audits/blob/main/CRAFTEO_TOKEN_01_29_24.pdf,https://github.com/Assure-DeFi/Audit-Certificates/blob/main/CRAFTEOAI_TOKEN_01_30_24.png
KryptoGangsters,kryptogangsters,,,approved,2021-01-01,none,,,kyc-only,no,,,
Lysin Finance,lysin-finance,,0xd67f98129aaab409c5040a141208510d902777e2,approved,2023-05-26,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Lysin%20Finance%20KYC%20Certificate.png,,
Bitrock Wallet,bitrock-wallet,Bitrock,,approved,2023-12-09,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Bitrock%20Wallet%20KYC%20Certificate.png,,
Hashlite Chain,Hashlite-chain,Ethereum,0xf61e0037a21326600a275bee67f9e495f0e0258e,approved,2023-08-04,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Hashlite%20Chain%20KYC%20Certificate.png,,
Hellsing Inu,hellsing-inu,,0xb087c2180e3134db396977065817aed91fea6ead,approved,2021-01-01,none,,,kyc-only,no,,,
Ecotrader,ecotrader,,0xb96682a8f558b8199a2dc039b1dd8911e5068faf,approved,2025-02-24,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Ecotrader%20KYC%20Certificate.png,,
Bonfire,bonfire,,0x6baefb2f6ecfb912eb0b5791a691c0af63ac6e85,approved,2022-09-06,none,,,kyc-only,no,,,
PayRave,payrave,Ethereum,,rejected,2024-04-01,none,,,rejected,no,,,
MIAU,miau,Base,,approved,2025-11-21,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Miau%20KYC%20Certificate.png,,
Loteraa,loteraa,Ethereum,,approved,2025-08-27,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Loteraa%20KYC%20Certificate.png,,
TinyTokens,tinytokens,,0x7b74fa93e623737f2219112bb9d2e3761ca48112,approved,2021-01-01,none,,,kyc-only,no,,,
The Dare AI,the-dare-ai,,,approved,2023-03-15,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/The%20Dare%20AI%20KYC%20Certificate.png,,
Axoria,axoria,Ethereum,,approved,2025-02-01,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Axoria%20KYC%20Certificate.png,,
Not Much,not-much,,0x822d139b661ea5613f46f6f309b6b7a5517c60a7,approved,2021-01-01,none,,,kyc-only,no,,,
Gamety,gamety,,,approved,2024-11-28,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Gamety%20KYC%20Certificate.png,,
Lucky Strike,lucky-strike,,0x30571bb45a52a1fa1a8edad7bece80bcbb824cc3,approved,2021-01-01,none,,,kyc-only,no,,,
BABYIRBIS,babyirbis,BSC,0x514e0e6806541a1f53db0a07a75962fef9e5eb15,approved,2024-03-11,none,,,kyc-only,yes,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/BABYIRBIS%20KYC%20Certificate.png,,
Human Bots,human-bots,BSC,,approved,2023-06-19,none,,,kyc-only,no,,,
FamilyVerse,familyverse,,0x1fe44c8bd8f39d046980115f985610da2bfddb07,approved,2021-01-01,none,,,kyc-only,no,,,
DungeonDefenders,dungeondefenders,Solana,,approved,2024-06-10,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/DungeonDefenders%20KYC%20Certificate.png,,
Blocklance,blocklance,Ethereum,,approved,2025-01-15,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Blocklance%20KYC%20Certificate.png,,
Atom Protocol,atom-protocol,,,approved,2021-01-01,none,,,kyc-only,no,,,
The Army Force,the-army-force,,,approved,2023-03-14,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/The%20Army%20Force%20KYC%20Certificate.png,,
FintyHub Token,fintyhub-token,Ethereum,0x3228ad31679e826e9efe1cace04fc0fb85ed482f,approved,2024-01-09,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/FintyHub%20Token%20KYC%20Certificate.png,,
Strange Creatures,strange-creatures,,,approved,2021-01-01,none,,,kyc-only,no,,,
Radiant DeFi,radiant-defi,,0xe3ef2768709fae1c2c2aec0533235b312970933d,approved,2021-01-01,none,,,kyc-only,no,,,
PABLO,pablo,Ethereum,,approved,2023-06-22,none,,,kyc-only,no,,,
Web3Cantina,web3cantina,,,approved,2024-03-13,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Web3Cantina%20KYC%20Certificate.png,,
Luminous Angel,luminous-angel,,0xb7771389fbdd0b8a9cd4dbe3ada8923426283b71,approved,2022-09-26,none,,,kyc-only,no,,,
DigitalSafe Finance,digitalsafe-finance,,,approved,2022-06-07,none,,,kyc-only,no,,,
AXES DAO,axes-dao,,,approved,2021-01-01,none,,,kyc-only,no,,,
Valor of Knightfall,valor-of-knightfall,,0xa559384a75748d996e0cf9be319359af639adbdd,approved,2022-05-25,none,,,kyc-only,no,,,
Lumin Finance,lumin-finance,Ethereum,,approved,2023-12-19,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Lumin%20Finance%20KYC%20Certificate%201.png,,
Uncle Don,uncle-don,Solana,edsuvxl6lnuuna6xpzhpvbbezvfsbybwbeamenweuxxs,none,,completed,,,audit-only,no,,https://github.com/Assure-DeFi/Audits/blob/main/Uncle%20Don_SOL_10_31_24.pdf,https://github.com/Assure-DeFi/Audit-Certificates/blob/main/Uncle%20Don_SOL_10_31_24.png
LOL,lol,,0xf91ac30e9b517f6d57e99446ee44894e6c22c032,approved,2021-01-01,none,,,kyc-only,no,,,
PhotonSwap,photonswap,,0xbdd4e5660839a088573191a9889a262c0efc0983,approved,2021-01-01,none,,,kyc-only,no,,,
Cradle of Sins,cradle-of-sins,,0x4d9f39f7cb7c7444335077223ceef33dbb58096f,approved,2023-03-29,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Cradle%20of%20Sins%20KYC%20Certificate.png,,
Kudoe,kudoe,,,approved,2023-01-18,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Kudoe%20KYC%20Certificate.png,,
Votecoin,votecoin,BSC,0xc19b391ce0c838058a1210afc4326e214332adfe,rejected,2023-06-08,none,,,rejected,no,,,
SafeMoo,safemoo,BSC,0x5cdabc6bc3b14a77a502cce5ea05d04a0cf52557,approved,2023-11-21,none,,,kyc-only,yes,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/SafeMoo%20KYC%20Certificate.png,,
Hive Investments,hive-investments,,,approved,2021-01-01,none,,,kyc-only,no,,,
CRYPAD,crypad,,0xbd93a148cbcd617031e317d39a7cca2bc8fe0665,approved,2023-04-14,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/CRYPAD%20KYC%20Certificate.png,,
Infinia AI,infinia-ai,Ethereum,,approved,2024-12-30,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Infinia%20AI%20KYC%20Certificate.png,,
Nimbi wolfpack,nimbi-wolfpack,Ethereum,,approved,2024-12-09,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Nimbi%20wolfpack%20KYC%20Certificate.png,,
Moonship,moonship,Ethereum,0x00418db0e2647833ee43873d93ac5e858da00f94,approved,2024-03-17,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Moonship%20KYC%20Certificate.png,,
Morph AI,morph-ai,Ethereum,0x683989afc948477fd38567f8327f501562c955ac,approved,2024-12-05,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Morph%20AI%20KYC%20Certificate.png,,
S.C.A.M.,s-c-a-m,Ethereum,0x590f00edc668d5af987c6076c7302c42b6fe9dd3,approved,2023-06-21,none,,,kyc-only,yes,,,
Athame Finance,athame-finance,,0x0f707bb0e254868896aea49a3b50fd1ff3252480,approved,2022-04-21,none,,,kyc-only,no,,,
Based Finance,based-finance,,0x8d7d3409881b51466b483b11ea1b8a03cded89ae,approved,2021-01-01,none,,,kyc-only,no,,,
HedgeFi,hedgefi,Ethereum,0xe56a10448c632e44605dcc5201c36122ff9d0250,approved,2024-09-23,completed,,,full,yes,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/HedgeFi%20KYC%20Certificate.png,https://github.com/Assure-DeFi/Audits/blob/main/HedgeFi_ADV_06_19_25.pdf https://github.com/Assure-DeFi/Audits/blob/main/HedgeFi_ADV_06_18_25.pdf,
OcNest Ai,ocnest-ai,Ethereum,0xe0396ef787f8b0385f0e73d30acf8b922b1761f1,none,2025-02-06,completed,,,audit-only,no,,https://github.com/Assure-DeFi/Audits/blob/main/OcNest_ADV_02_06_24.pdf,https://github.com/Assure-DeFi/Audit-Certificates/blob/main/OcNest_ADV_02_06_24.png
KEYS,keys,Ethereum,0xe854579578ac64fd993d63395e03f1b2ce27b366,approved,2025-04-12,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/KEYS%20KYC%20Certificate.png,,
Spear Finance,spear-finance,,0x4860a28be33ad04dadfc91722728effa8430f836,approved,2021-01-01,none,,,kyc-only,no,,,
Metaegg,metaegg,,0x0475ae77fb55005f15554642d6016c75fd04227a,approved,2022-07-26,none,,,kyc-only,no,,,
Gempad,gempad,Base,0x7401ddd4a8e530f59cd555117e8d3d791dd0fdba,none,2024-12-21,completed,,,audit-only,no,,https://github.com/Assure-DeFi/Audits/blob/main/GEMPAD_LOCKER_12_27_24.pdf https://github.com/Assure-DeFi/Audits/blob/main/GEMPAD_LOCK_12_23_24.pdf https://github.com/Assure-DeFi/Audits/blob/main/Gempad_LOCKER_12_21_24.pdf,https://github.com/Assure-DeFi/Audit-Certificates/blob/main/GEMPAD_LOCKER_12_27_24.png
Chirpley,chirpley,BSC,0xed00fc7d48b57b81fe65d1ce71c0985e4cf442cb | 0x70bc0dc6414eb8974bc70685f798838a87d8cce4,approved,2024-03-30,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Chirpley%20KYC%20Certificate.png,,
BetSwirl,betswirl,,0x9246a5f10a79a5a939b0c2a75a3ad196aafdb43b,approved,2021-01-01,none,,,kyc-only,no,,,
Neurahub,neurahub,Ethereum,,approved,2024-03-15,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Neurahub%20KYC%20Certificate.png,,
BlockBiz,blockbiz,Ethereum,0xa4eecca178cf9d6007be55d13d4e6d056b0b295d,approved,2023-10-11,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/BlockBiz%20KYC%20Certificate.png,,
Neonsora,neonsora,BSC,0x5566c35b35efe9b611c61c6ed293d6e4316fbc55,approved,2025-03-11,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Neonsora%20KYC%20Certificate.png,,
VibeZone Online,vibezone-online,BSC,0xf394c9f6b719e4756fea32f7436c43c71cd8297a,approved,2023-06-23,none,,,kyc-only,no,,,
Wrapped Platform (@WRAP_Platform) / X,ganja-inu,,,approved,2021-01-01,none,,,kyc-only,no,,,
Bourbon and Blockchain Services,bourbon-and-blockchain-services,,,approved,2022-11-12,none,,,kyc-only,no,,,
Dracula Game,dracula-game,,,approved,2021-01-01,none,,,kyc-only,no,,,
NFTMall,nftmall,,0xbac1df744df160877cdc45e13d0394c06bc388ff,approved,2021-01-01,none,,,kyc-only,no,,,
FluffCoin,fluffcoin,Solana,8c8k4hefaeulsfoxgdtjcbjx3wqy7lzesfxlaffbkmp4,approved,2024-07-23,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/FluffCoin%20KYC%20Certificate.png,,
RIFTs Finance,rifts,Solana,hjbmk5rabydavukyrvrscbnp9knn9nldksbn2qpppump | effu64glbvnd2gsagotj5kuewefn8qtj9caxexxfz7c2,approved,2026-01-09,completed,,,full,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Rifts%20Finance%20KYC%20Certificate.png,https://github.com/Assure-DeFi/Audits/blob/main/RIFTS_PROTOCOL_ADV_1_6_26.pdf https://github.com/Assure-DeFi/Audits/blob/main/RIFTS_DAPP_ADV_1_5_26.pdf https://github.com/Assure-DeFi/Audits/blob/main/RIFTS_PROTOCOL_ADV_1_5_26.pdf https://github.com/Assure-DeFi/Audits/blob/main/RIFTS_DAPP_ADV_1_2_26.pdf https://github.com/Assure-DeFi/Audits/blob/main/RIFTS_PROTOCOL_ADV_1_2_26.pdf https://github.com/Assure-DeFi/Audits/blob/main/RIFTS_ADV_11_21_25.pdf https://github.com/Assure-DeFi/Audits/blob/main/RIFTS_ADV_10_11_25.pdf https://github.com/Assure-DeFi/Audits/blob/main/RIFTS_ADV_10_06_25.pdf https://github.com/Assure-DeFi/Audits/blob/main/RIFTS_ADV_10_03_25.pdf https://github.com/Assure-DeFi/Audits/blob/main/RIFTS_ADV_09_02_25.pdf,https://github.com/Assure-DeFi/Audit-Certificates/blob/main/RIFTS_PROTOCOL_ADV_1_6_26.png https://github.com/Assure-DeFi/Audit-Certificates/blob/main/RIFTS_DAPP_ADV_1_5_26.png https://github.com/Assure-DeFi/Audit-Certificates/blob/main/RIFTS_ADV_11_20_25.png
YieldBricks,yieldbricks,Ethereum,0x11920f139a3121c2836e01551d43f95b3c31159c | 0x9d9535dae62f5f12ab83f1183dca1ead244b0db3,approved,2021-12-01,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/YieldBricks%20KYC%20Certificate.png,,
